first_name,last_name,email,phone,age,city,country,order_date,product_id,quantity,unit_price
Ayse,Ak,ayse.ak1@example.com,5110000001,19,Istanbul,TR,2026-01-02,101,2,26.37
Mehmet,Can,mehmet.can2@example.com,5120000002,20,Izmir,TR,2026-01-03,102,3,27.74
Zeynep,Arslan,zeynep.arslan3@example.com,5130000003,21,Bursa,TR,2026-01-04,103,4,29.11
Ali,Kaya,ali.kaya4@example.com,5140000004,22,Konya,TR,2026-01-05,104,5,30.48
Elif,Polat,elif.polat5@example.com,+90 515 000 0005,23,Antalya,TR,2026-01-06,105,1,31.85
Murat,Demir,murat.demir6@example.com,5160000006,24,Eskisehir,TR,2026-01-07,106,2,33.22
Selin,Celik,selin.celik7@example.com,0517-000-0007,25,Adana,TR,2026-01-08,107,3,34.59
Can,Sahin,can.sahin8@example.com,5180000008,26,Ankara,TR,2026-01-09,108,4,35.96
Deniz,Koc,deniz.koc9@example.com,5190000009,27,Istanbul,Turkey,2026-01-10,109,5,37.33
Ece,Erdem,ece.erdem10@example.com,+90 520 000 0010,28,Izmir,TR,2026-01-11,110,1,38.70
Burak,Kara,burak.kara11@example.com,(521) 000-0011,29,Bursa,TR,2026-01-12,111,2,40.07
Derya,  VELI  ,derya.veli12@example.com,5220000012,30,Konya,TR,2026-01-13,112,3,41.44
Kerem,Oz,kerem.oz13@example.com,5230000013,31,ANTALYA,TR,2026-01-14,113,4,42.81
Seda,Aydin,seda.aydin14@example.com,0524-000-0014,32,Eskisehir,TR,2026-01-15,114,5,44.18
Yusuf,Yilmaz,yusuf.yilmaz15@example.com,+90 525 000 0015,33,Adana,TR,2026-01-16,115,1,45.55
Enes,Yildiz,enes.yildiz16@example.com,5260000016,34,Ankara,TR,2026-01-17,116,2,46.92
  AYSE  ,Ak,ayse.ak17@example.com,5270000017,35,  istanbul ,TR,2026-01-18,117,3,48.29
Mehmet,can,mehmet.can18@example.com,5280000018,36,Izmir,Turkey,2026-01-19,118,4,49.66
Zeynep,Arslan,zeynep.arslan19@example.com,5290000019,37,,TR,2026-01-20,119,5,51.03
Ali,Kaya,ali.kaya20@example.com,+90 530 000 0020,38,Konya,TR,2026-01-21,120,1,52.40
